todo_preset_type,index_key,stock_todo_content_type,is_flagged_to_add
"DEFAULT",0,"accomodation",true
"DEFAULT",1,"passport",false
"DEFAULT",2,"cash",false
"DEFAULT",3,"prepaid_card",false 
"DEFAULT",4,"credit_card",false 
"DEFAULT",5,"roaming",false 
"DEFAULT",6,"visit_japan",false 
"DEFAULT",7,"military_approvement",false 
"DEFAULT",8,"insurance",false 
"DEFAULT",9,"clothing",false
"DEFAULT",10,"toothbrush_set",false
"DEFAULT",11,"charger",false
"DEFAULT",12,"earphones",false 
"DEFAULT",13,"power_bank",false 
"DEFAULT",14,"adapter",false 
"DEFAULT",15,"suitcase",false 
"DEFAULT",16,"bag",false 
"DEFAULT",17,"sunscreen",false  
"DEFAULT",18,"tissue",false 
"DEFAULT",19,"personal_medication",false 
"DEFAULT",20,"cosmetics",false
"DEFAULT",21,"towel",false 
"DEFAULT",22,"umbrella",false 
"DEFAULT",23,"camera",false 
"DEFAULT",24,"pajamas",false
"DEFAULT",25,"sandals",false 
"DEFAULT",26,"sunglasses",false 
"DEFAULT",27,"tumbler",false 
"DOMESTIC",0,"accomodation",true
"DOMESTIC",1,"insurance",false 
"DOMESTIC",2,"clothing",false
"DOMESTIC",3,"toothbrush_set",false
"DOMESTIC",4,"charger",false
"DOMESTIC",5,"earphones",false 
"DOMESTIC",6,"power_bank",false 
"DOMESTIC",7,"suitcase",false 
"DOMESTIC",8,"bag",false 
"DOMESTIC",9,"sunscreen",false  
"DOMESTIC",10,"tissue",false 
"DOMESTIC",11,"personal_medication",false 
"DOMESTIC",12,"cosmetics",false
"DOMESTIC",13,"towel",false 
"DOMESTIC",14,"umbrella",false 
"DOMESTIC",15,"camera",false 
"DOMESTIC",16,"pajamas",false
"DOMESTIC",17,"sandals",false 
"DOMESTIC",18,"sunglasses",false 
"DOMESTIC",19,"tumbler",false 
"FOREIGN",0,"accomodation",true
"FOREIGN",1,"passport",true
"FOREIGN",2,"cash",true
"FOREIGN",3,"roaming",true
"FOREIGN",4,"prepaid_card",false
"FOREIGN",5,"credit_card",false 
"FOREIGN",6,"visit_japan",false 
"FOREIGN",7,"military_approvement",false 
"FOREIGN",8,"insurance",false 
"FOREIGN",9,"adapter",true
"FOREIGN",10,"clothing",false
"FOREIGN",11,"toothbrush_set",false
"FOREIGN",12,"charger",false
"FOREIGN",13,"earphones",false 
"FOREIGN",14,"power_bank",false 
"FOREIGN",15,"suitcase",false 
"FOREIGN",16,"bag",false 
"FOREIGN",17,"sunscreen",false  
"FOREIGN",18,"tissue",false 
"FOREIGN",19,"personal_medication",false 
"FOREIGN",20,"cosmetics",false
"FOREIGN",21,"towel",false 
"FOREIGN",22,"umbrella",false 
"FOREIGN",23,"camera",false 
"FOREIGN",24,"pajamas",false
"FOREIGN",25,"sandals",false 
"FOREIGN",26,"sunglasses",false 
"FOREIGN",27,"tumbler",false 
"JAPAN",0,"accomodation",true
"JAPAN",1,"passport",true
"JAPAN",2,"cash",true
"JAPAN",3,"roaming",true
"JAPAN",4,"visit_japan",true 
"JAPAN",5,"prepaid_card",false
"JAPAN",6,"credit_card",false 
"JAPAN",7,"military_approvement",false 
"JAPAN",8,"insurance",false 
"JAPAN",9,"adapter-JP",true
"JAPAN",10,"clothing",false
"JAPAN",11,"toothbrush_set",false
"JAPAN",12,"charger",false
"JAPAN",13,"earphones",false 
"JAPAN",14,"power_bank",false 
"JAPAN",15,"suitcase",false 
"JAPAN",16,"bag",false 
"JAPAN",17,"sunscreen",false  
"JAPAN",18,"tissue",false 
"JAPAN",19,"personal_medication",false 
"JAPAN",20,"cosmetics",false
"JAPAN",21,"towel",false 
"JAPAN",22,"umbrella",false 
"JAPAN",23,"camera",false 
"JAPAN",24,"pajamas",false
"JAPAN",25,"sandals",false 
"JAPAN",26,"sunglasses",false 
"JAPAN",27,"tumbler",false 
